Case_ID,Created_Date,Assigned_Date,Resolved_Date,Case_Type,Priority,Assigned_Team,Assigned_Analyst,Routing_Method,Reassignment_Count,Current_Status,SLA_Target_Hours,SLA_Met,Root_Cause,Reopened_Flag,Customer_Segment,Documentation_Gap,Policy_Exception,Historical_Rework_Risk,Estimated_Work_Hours,Assignment_Lag_Hours,Resolution_Hours,Handling_Hours,SLA_Met_Calculated,SLA_Breach_Hours,Score_Case_Type,Score_Priority,Score_Documentation_Gap,Score_Policy_Exception,Score_Rework_Risk,Complexity_Score,Complexity_Band
CS-2026-001919,2026-04-14 12:30:00,2026-04-14 13:45:00,2026-04-17 07:33:00,Billing Correction,High,TEAM-03,AN-018,Auto-Routed,1.0,Resolved,72,Yes,Incorrect initial routing,No,Small Group,No,No,No,8.66,1.25,67.05,65.8,Yes,,17,19,0,0,0,36,Moderate
CS-2026-006178,2026-05-18 15:00:00,2026-05-18 16:51:00,2026-05-22 23:38:00,Claims Dispute,Standard,TEAM-04,AN-025,Auto-Routed,0.0,Resolved,72,No,System data gap,No,Individual,No,No,No,7.1,1.85,104.63,102.78,No,32.63,26,11,0,0,0,37,Moderate
CS-2026-001047,2026-03-09 08:30:00,2026-03-09 10:04:00,2026-03-10 09:37:00,Authorization Review,Urgent,TEAM-04,AN-024,Auto-Routed,0.0,Resolved,48,Yes,Missing documentation,No,Enterprise,No,Yes,No,6.88,1.57,25.12,23.55,Yes,,22,25,0,15,0,62,High
CS-2026-004189,2026-05-27 17:15:00,2026-05-27 20:06:00,2026-06-02 09:07:00,Billing Correction,Standard,TEAM-05,AN-029,Analyst Self-Select,3.0,Resolved,72,No,Missing documentation,No,Small Group,Yes,No,No,15.63,2.85,135.87,133.02,No,63.87,17,11,20,0,0,48,Moderate
CS-2026-003459,2026-03-26 10:15:00,2026-03-26 15:43:00,2026-03-27 10:26:00,Billing Correction,Urgent,TEAM-05,AN-029,Analyst Self-Select,0.0,Resolved,72,Yes,Complex eligibility,No,Small Group,No,No,No,4.41,5.47,24.18,18.72,Yes,,17,25,0,0,0,42,Moderate
CS-2026-014178,2026-04-23 11:30:00,2026-04-23 17:38:00,2026-04-24 13:44:00,Benefits Inquiry,Urgent,TEAM-01,AN-006,Analyst Self-Select,0.0,Resolved,48,Yes,Complex eligibility,No,Mid-Market,No,No,Yes,4.17,6.13,26.23,20.1,Yes,,13,25,0,0,10,48,Moderate
CS-2026-015687,2026-01-06 16:30:00,2026-01-06 21:45:00,2026-01-08 05:45:00,Billing Correction,High,TEAM-05,AN-028,Analyst Self-Select,0.0,Resolved,72,Yes,Policy exception required,No,Individual,No,No,No,5.57,5.25,37.25,32.0,Yes,,17,19,0,0,0,36,Moderate
CS-2026-015798,2026-01-05 10:30:00,2026-01-05 12:31:00,2026-01-09 13:46:00,Billing Correction,Standard,TEAM-05,AN-029,Auto-Routed,0.0,Resolved,72,No,External party delay,No,Enterprise,Yes,No,No,8.4,2.02,99.27,97.25,No,27.27,17,11,20,0,0,48,Moderate
CS-2026-011050,2026-01-31 07:30:00,2026-01-31 10:29:00,2026-02-01 00:58:00,Enrollment Change,Standard,TEAM-03,AN-019,Auto-Routed,0.0,Resolved,24,Yes,Policy exception required,No,Enterprise,No,No,No,2.04,2.98,17.47,14.48,Yes,,9,11,0,0,0,20,Low
CS-2026-011424,2026-02-14 08:45:00,2026-02-14 10:03:00,2026-02-16 13:10:00,Billing Correction,Low,TEAM-05,AN-034,Auto-Routed,1.0,Resolved,72,Yes,Incorrect initial routing,No,Enterprise,No,No,Yes,7.59,1.3,52.42,51.12,Yes,,17,5,0,0,10,32,Moderate
