Exception_ID,Rule_ID,Record_ID,Severity,Description,Action_Taken
EX-00001,DQ-01,CS-2026-001422,High,Duplicate Case_ID.,First occurrence retained
EX-00002,DQ-01,CS-2026-007050,High,Duplicate Case_ID.,First occurrence retained
EX-00003,DQ-01,CS-2026-012812,High,Duplicate Case_ID.,First occurrence retained
EX-00004,DQ-01,CS-2026-001116,High,Duplicate Case_ID.,First occurrence retained
EX-00005,DQ-01,CS-2026-005289,High,Duplicate Case_ID.,First occurrence retained
EX-00006,DQ-01,CS-2026-005872,High,Duplicate Case_ID.,First occurrence retained
EX-00007,DQ-01,CS-2026-015337,High,Duplicate Case_ID.,First occurrence retained
EX-00008,DQ-01,CS-2026-014288,High,Duplicate Case_ID.,First occurrence retained
EX-00009,DQ-01,CS-2026-007195,High,Duplicate Case_ID.,First occurrence retained
EX-00010,DQ-01,CS-2026-014052,High,Duplicate Case_ID.,First occurrence retained
EX-00011,DQ-01,CS-2026-005038,High,Duplicate Case_ID.,First occurrence retained
EX-00012,DQ-01,CS-2026-014826,High,Duplicate Case_ID.,First occurrence retained
EX-00013,DQ-01,CS-2026-004360,High,Duplicate Case_ID.,First occurrence retained
EX-00014,DQ-01,CS-2026-014814,High,Duplicate Case_ID.,First occurrence retained
EX-00015,DQ-01,CS-2026-001847,High,Duplicate Case_ID.,First occurrence retained
EX-00016,DQ-01,CS-2026-010774,High,Duplicate Case_ID.,First occurrence retained
EX-00017,DQ-01,CS-2026-012897,High,Duplicate Case_ID.,First occurrence retained
EX-00018,DQ-01,CS-2026-003843,High,Duplicate Case_ID.,First occurrence retained
EX-00019,DQ-01,CS-2026-005401,High,Duplicate Case_ID.,First occurrence retained
EX-00020,DQ-01,CS-2026-001599,High,Duplicate Case_ID.,First occurrence retained
EX-00021,DQ-01,CS-2026-001288,High,Duplicate Case_ID.,First occurrence retained
EX-00022,DQ-01,CS-2026-004451,High,Duplicate Case_ID.,First occurrence retained
EX-00023,DQ-01,CS-2026-011267,High,Duplicate Case_ID.,First occurrence retained
EX-00024,DQ-01,CS-2026-013379,High,Duplicate Case_ID.,First occurrence retained
EX-00025,DQ-01,CS-2026-002430,High,Duplicate Case_ID.,First occurrence retained
EX-00026,DQ-01,CS-2026-005020,High,Duplicate Case_ID.,First occurrence retained
EX-00027,DQ-01,CS-2026-001375,High,Duplicate Case_ID.,First occurrence retained
EX-00028,DQ-01,CS-2026-005205,High,Duplicate Case_ID.,First occurrence retained
EX-00029,DQ-01,CS-2026-014272,High,Duplicate Case_ID.,First occurrence retained
EX-00030,DQ-01,CS-2026-010755,High,Duplicate Case_ID.,First occurrence retained
EX-00031,DQ-01,CS-2026-006071,High,Duplicate Case_ID.,First occurrence retained
EX-00032,DQ-01,CS-2026-011179,High,Duplicate Case_ID.,First occurrence retained
EX-00033,DQ-01,CS-2026-004657,High,Duplicate Case_ID.,First occurrence retained
EX-00034,DQ-01,CS-2026-009245,High,Duplicate Case_ID.,First occurrence retained
EX-00035,DQ-01,CS-2026-012279,High,Duplicate Case_ID.,First occurrence retained
EX-00036,DQ-01,CS-2026-004400,High,Duplicate Case_ID.,First occurrence retained
EX-00037,DQ-01,CS-2026-000845,High,Duplicate Case_ID.,First occurrence retained
EX-00038,DQ-01,CS-2026-011207,High,Duplicate Case_ID.,First occurrence retained
EX-00039,DQ-01,CS-2026-006632,High,Duplicate Case_ID.,First occurrence retained
EX-00040,DQ-01,CS-2026-000569,High,Duplicate Case_ID.,First occurrence retained
EX-00041,DQ-01,CS-2026-004025,High,Duplicate Case_ID.,First occurrence retained
EX-00042,DQ-01,CS-2026-015635,High,Duplicate Case_ID.,First occurrence retained
