Analyst_ID,Team_ID,Hours_Per_Day,Tenure_Band
AN-001,TEAM-01,7.5,0-1 yr
AN-002,TEAM-01,7.5,1-3 yr
AN-003,TEAM-01,7.5,1-3 yr
AN-004,TEAM-01,7.5,3+ yr
AN-005,TEAM-01,7.5,1-3 yr
AN-006,TEAM-01,7.5,1-3 yr
AN-007,TEAM-01,7.5,1-3 yr
AN-008,TEAM-01,7.5,3+ yr
AN-009,TEAM-01,7.5,3+ yr
AN-010,TEAM-02,7.5,0-1 yr
AN-011,TEAM-02,7.5,1-3 yr
AN-012,TEAM-02,7.5,1-3 yr
AN-013,TEAM-02,7.5,1-3 yr
AN-014,TEAM-02,7.5,0-1 yr
AN-015,TEAM-02,7.5,1-3 yr
AN-016,TEAM-02,7.5,1-3 yr
AN-017,TEAM-03,7.5,3+ yr
AN-018,TEAM-03,7.5,0-1 yr
AN-019,TEAM-03,7.5,1-3 yr
AN-020,TEAM-03,7.5,1-3 yr
AN-021,TEAM-03,7.5,1-3 yr
AN-022,TEAM-03,7.5,3+ yr
AN-023,TEAM-04,7.5,3+ yr
AN-024,TEAM-04,7.5,1-3 yr
AN-025,TEAM-04,7.5,3+ yr
AN-026,TEAM-04,7.5,1-3 yr
AN-027,TEAM-04,7.5,3+ yr
AN-028,TEAM-05,7.5,1-3 yr
AN-029,TEAM-05,7.5,0-1 yr
AN-030,TEAM-05,7.5,3+ yr
AN-031,TEAM-05,7.5,3+ yr
AN-032,TEAM-05,7.5,0-1 yr
AN-033,TEAM-05,7.5,3+ yr
AN-034,TEAM-05,7.5,1-3 yr
AN-035,TEAM-05,7.5,3+ yr
