Team_ID,Date,Analyst_Count,Available_Hours,Assigned_Case_Count,Average_Complexity,Open_Backlog,Backlog_Work_Hours
TEAM-01,2026-01-02,9,67.5,27,5.96,25,154.3
TEAM-02,2026-01-02,7,52.5,19,10.79,19,204.9
TEAM-03,2026-01-02,6,45.0,12,4.03,12,48.4
TEAM-04,2026-01-02,5,37.5,13,6.57,13,85.4
TEAM-05,2026-01-02,8,60.0,13,6.09,13,79.2
TEAM-01,2026-01-03,9,0.0,27,6.9,40,282.4
TEAM-02,2026-01-03,7,0.0,22,9.3,37,374.6
TEAM-03,2026-01-03,6,0.0,21,3.74,21,84.1
TEAM-04,2026-01-03,5,0.0,12,6.8,24,164.4
TEAM-05,2026-01-03,8,0.0,20,7.0,28,200.2
TEAM-01,2026-01-04,9,0.0,42,6.56,60,442.1
TEAM-02,2026-01-04,7,0.0,14,9.54,40,429.2
TEAM-03,2026-01-04,6,0.0,13,3.9,16,77.0
TEAM-04,2026-01-04,5,0.0,20,6.66,40,277.1
TEAM-05,2026-01-04,8,0.0,16,5.34,29,194.6
TEAM-01,2026-01-05,9,67.5,27,6.12,57,472.9
TEAM-02,2026-01-05,7,52.5,20,8.77,47,480.7
TEAM-03,2026-01-05,6,45.0,22,4.21,27,122.6
TEAM-04,2026-01-05,5,37.5,13,6.76,47,330.5
TEAM-05,2026-01-05,8,60.0,20,6.0,32,215.8
TEAM-01,2026-01-06,9,67.5,31,6.93,64,547.5
TEAM-02,2026-01-06,7,52.5,20,9.91,50,515.1
TEAM-03,2026-01-06,6,45.0,12,4.32,19,103.9
TEAM-04,2026-01-06,5,37.5,17,7.49,50,365.3
TEAM-05,2026-01-06,8,60.0,14,6.22,30,223.3
TEAM-01,2026-01-07,9,67.5,26,6.52,62,530.7
TEAM-02,2026-01-07,7,52.5,20,9.22,54,559.7
TEAM-03,2026-01-07,6,45.0,21,3.63,23,119.1
TEAM-04,2026-01-07,5,37.5,5,8.07,42,335.7
TEAM-05,2026-01-07,8,60.0,11,5.81,27,205.1
TEAM-01,2026-01-08,9,67.5,21,6.48,52,457.2
TEAM-02,2026-01-08,7,52.5,17,8.75,51,529.3
TEAM-03,2026-01-08,6,45.0,16,4.01,22,114.6
TEAM-04,2026-01-08,5,37.5,14,7.97,46,385.6
TEAM-05,2026-01-08,8,60.0,16,5.65,31,203.5
TEAM-01,2026-01-09,9,67.5,25,6.39,53,425.8
TEAM-02,2026-01-09,7,52.5,15,8.42,48,484.2
TEAM-03,2026-01-09,6,45.0,14,3.64,22,118.5
TEAM-04,2026-01-09,5,37.5,14,6.54,49,391.6
TEAM-05,2026-01-09,8,60.0,11,6.4,23,167.4
TEAM-01,2026-01-10,9,0.0,17,5.64,37,264.0
TEAM-02,2026-01-10,7,0.0,13,8.9,40,404.7
TEAM-03,2026-01-10,6,0.0,25,3.96,32,155.2
TEAM-04,2026-01-10,5,0.0,14,6.75,47,366.7
TEAM-05,2026-01-10,8,0.0,16,6.29,26,194.5
TEAM-01,2026-01-11,9,0.0,19,7.34,40,314.6
TEAM-02,2026-01-11,7,0.0,10,10.44,40,418.0
